matchNum,scoreDiff,rpDiff,autoDiff,lastFive,linkPoints,endgamePoints,bluewin,eventNum
30,-41.5,-2.5,5.0,-5.0,-12.5,-3.0,0,1
31,-12.5,0.5,-5.0,0.0,-7.5,5.0,0,1
32,64.5,1.0,31.0,0.0,10.0,15.0,1,1
33,42.5,0.0,3.0,0.0,2.5,25.0,0,1
34,22.0,1.0,10.5,5.0,5.0,-11.0,1,1
35,26.0,1.0,17.0,2.5,10.0,-10.0,0,1
36,45.5,2.5,19.0,5.0,17.5,9.0,1,1
37,-26.5,0.0,6.5,2.5,-7.5,-7.0,0,1
38,-7.0,-2.5,-12.0,-7.5,-5.0,24.0,0,1
39,-76.33,-1.66,-2.33,0.85,-27.5,-10.0,0,1
40,-12.01,0.33,0.68,1.65,1.68,-10.01,1,1
41,13.0,-1.0,10.33,-1.65,8.33,-12.0,1,1
42,1.34,-2.34,7.34,-5.0,1.66,-1.34,1,1
43,52.0,1.99,29.33,1.65,1.66,9.33,1,1
44,-34.66,-1.99,-18.0,-3.35,-5.0,0.0,1,1
45,28.34,1.33,3.67,3.35,3.33,5.99,1,1
46,89.33,0.67,15.67,-1.65,16.68,23.33,1,1
47,-52.67,-3.33,-16.34,-5.0,-16.67,2.67,1,1
48,-31.33,-0.67,-1.68,-1.65,-1.67,-10.01,0,1
49,15.33,-1.67,11.32,-5.0,-5.01,17.32,1,1
50,-66.99,-2.33,-18.66,0.0,-18.34,-17.33,1,1
51,10.99,0.0,-0.66,1.65,3.33,-3.34,1,1
52,-90.42,-1.5,-19.42,-0.85,-30.42,-4.33,0,1
53,16.5,0.25,14.0,1.25,5.0,-14.5,1,1
54,15.5,0.75,19.0,0.0,10.0,-4.0,1,1
55,-1.75,-0.75,-8.5,0.0,-1.25,-11.5,0,1
56,-37.25,-1.25,-21.5,-1.25,-1.25,-2.5,1,1
57,6.75,0.75,-6.5,1.25,8.75,-0.5,0,1
58,-26.5,-0.5,-23.25,0.0,-7.5,1.0,1,1
59,39.5,2.25,4.0,5.0,8.75,1.0,1,1
60,-66.0,-2.75,-23.25,-1.25,-18.75,-7.0,0,1
